REFKEY	TITLE	TITLE2	AUTHORS	AUTHORS2	JOURNAL	VOLUME	YEAR	PAGES	JNUM	PMID
88450	Interleukin 3 and granulocyte-macrophage colony-stimulating factor are not required for induction of chronic myeloid leukemia-like myeloproliferative disease in mice by BCR/ABL.		Li S; Gillessen S; Tomasson MH; Dranoff G; Gilliland DG; Van Etten RA		Blood	97	2001	1442-50	J:67476	11222392
88451	Treatment of Bcr/Abl-positive acute lymphoblastic leukemia in P190 transgenic mice with the farnesyl transferase inhibitor SCH66336.		Reichert A; Heisterkamp N; Daley GQ; Groffen J		Blood	97	2001	1399-403	J:67477	11222386
88452	Fatal leukemia in interleukin 15 transgenic mice follows early expansions in natural killer and memory phenotype CD8+ T cells.		Fehniger TA; Suzuki K; Ponnappan A; VanDeusen JB; Cooper MA; Florea SM; Freud AG; Robinson ML; Durbin J; Caligiuri MA		J Exp Med	193	2001	219-31	J:67478	11208862
88453	Effect of melatonin on two stage skin carcinogenesis in Swiss mice.		Kumar CA; Das UN		Med Sci Monit	6	2000	471-5	J:67480	11208355
88454	Overexpression of human H-ras transgene is responsible for tumors induced by chemical carcinogens in mice.		Maruyama C; Tomisawa M; Wakana S; Yamazaki H; Kijima H; Suemizu H; Ohnishi Y; Urano K; Hioki K; Usui T; Nakamura M; Tsuchida T; Mitsumori K; Nomura T; Tamaoki N; Ueyama Y		Oncol Rep	8	2001	233-7	J:67482	11182032
88455	BCL-2 cooperates with promyelocytic leukemia retinoic acid receptor alpha chimeric protein (PMLRARalpha) to block neutrophil differentiation and initiate acute leukemia.		Kogan SC; Brown DE; Shultz DB; Truong BT; Lallemand-Breitenbach V; Guillemin MC; Lagasse E; Weissman IL; Bishop JM		J Exp Med	193	2001	531-43	J:67483	11181704
88456	Role of promyelocytic leukemia (PML) protein in tumor suppression.		Rego EM; Wang ZG; Peruzzi D; He LZ; Cordon-Cardo C; Pandolfi PP		J Exp Med	193	2001	521-29	J:67484	11181703
88457	Heterozygosity for a mutation in Brca1 or Atm does not increase susceptibility to ENU-induced mammary tumors in Apc(Min)/+ mice.		Karabinis ME; Larson D; Barlow C; Wynshaw-Boris A; Moser AR		Carcinogenesis	22	2001	343-6	J:67485	11181458
88458	HMGI-C gene expression is not required for in vivo thyroid cell transformation.		Scala S; Portella G; Vitagliano D; Ledent C; Chiappetta G; Giancotti V; Dumont J; Fusco A		Carcinogenesis	22	2001	251-6	J:67486	11181445
88459	Bax gene disruption alters the epidermal response to ultraviolet irradiation and in vivo induced skin carcinogenesis.		Cho SH; Delehedde M; Rodriguez-Villanueva J; Brisbay S; McDonnell TJ		Int J Mol Med	7	2001	235-41	J:67487	11179500
88460	Susceptibility to radiation-induced leukaemia/lymphoma is genetically separable from sensitivity to radiation-induced genomic instability.		Boulton E; Cleary H; Papworth D; Plumb M		Int J Radiat Biol	77	2001	21-9	J:67448	11213347
88461	Bcl-2 delays and alters hepatic carcinogenesis induced by transforming growth factor alpha.		Vail ME; Pierce RH; Fausto N		Cancer Res	61	2001	594-601	J:67450	11212255
88462	129/Sv mice--a model system for studying germ cell biology and testicular cancer.		Jiang LI; Nadeau JH		Mamm Genome	12	2001	89-94	J:67453	11210194
88463	Dietary administration of tannic acid lowers plasminogen activator activity in the liver of C3H hepatoma bearing male mice.		Taitzoglou IA; Tsantarliotou MP; Nepka C; Zervos I; Maltezos E; Kouretas D; Kokolis NA		In Vivo	14	2000	767-71	J:67454	11204497
88464	Fluorescence imaging and spectroscopy of ethyl nile blue A in animal models of (pre)malignancies.		van Staveren HJ; Speelman OC; Witjes MJ; Cincotta L; Star WM		Photochem Photobiol	73	2001	32-8	J:67455	11202363
88465	MAD2 haplo-insufficiency causes premature anaphase and chromosome instability in mammalian cells.		Michel LS; Liberal V; Chatterjee A; Kirchwegger R; Pasche B; Gerald W; Dobles M; Sorger PK; Murty VV; Benezra R		Nature	409	2001	355-9	J:67456	11201745
88466	Effect of melatonin and linolenic acid on mammary cancer in transgenic mice with c-neu breast cancer oncogene.		Rao GN; Ney E; Herbert RA		Breast Cancer Res Treat	64	2000	287-96	J:67457	11200779
88467	Gastrointestinal tumorigenesis in Smad4 (Dpc4) mutant mice.		Taketo MM; Takaku K		Hum Cell	13	2000	85-95	J:67459	11197776
88468	Successful and not so successful chemoprevention of tobacco smoke-induced lung tumors.		Witschi H		Exp Lung Res	26	2000	743-55	J:67461	11195468
88469	Low level expression of human papillomavirus type 16 (HPV16) E6 in squamous epithelium does not elicit E6 specific B- or T-helper immunological responses, or influence the outcome of immunisation with E6 protein.		Azoury-Ziadeh R; Herd K; Fernando GJ; Lambert P; Frazer IH; Tindle RW		Virus Res	73	2001	189-99	J:67504	11172923
88470	Biology of transforming growth factor beta in hepatocarcinogenesis.		Rossmanith W; Schulte-Hermann R		Microsc Res Tech	52	2001	430-6	J:67506	11170302
88471	Oral administration of dimethylvinyl chloride increases frequency of forestomach papillomas in Tg.AC mice.		Cannon RE; Graves S; Spalding JW; Trempus CS; Tennant RW		Mol Carcinog	29	2000	229-35	J:67507	11170261
88472	Analysis for loss of heterozygosity (LOH) of p53 allele in tumors derived from p53+/- and CD-1 mice following repeated subcutaneous injections of solutions containing antioxidants.		Youssef AF; Borellini F; Jacobson-Kram D; Fort FL		Environ Mol Mutagen	37	2001	27-30	J:67508	11170239
88473	Systemic deficits in transporter for antigen presentation (TAP)-1 or proteasome subunit LMP2 have little or no effect on tumor incidence.		Johnsen AK; France J; Nagy N; Askew D; Abdul-Karim FW; Gerson SL; Sy MS; Harding CV		Int J Cancer	91	2001	366-72	J:67509	11169961
88474	Validity of mouse mammary tumour models for human breast cancer: comparative pathology.		Cardiff RD		Microsc Res Tech	52	2001	224-30	J:67510	11169869
88475	Protective immunity to UV radiation-induced skin tumours induced by skin grafts and epidermal cells.		Sluyter R; Yuen K; Halliday G		Immunol Cell Biol	79	2001	29-34	J:67511	11168620
88476	Protective role of medroxyprogesterone acetate on N-methyl-N-nitrosourea-induced lymphomas in BALB/c female mice.		Pazos P; Lanari C; Molinolo AA		Leuk Res	25	2001	165-7	J:67512	11166832
88477	Loss of heterozygosity in somatic cells of the mouse. An important step in cancer initiation?		Wijnhoven SW; Kool HJ; van Teijlingen CM; van Zeeland AA; Vrieling H		Mutat Res	473	2001	23-36	J:67513	11166024
88478	Mouse model for Burkitt's lymphoma will aid understanding and therapy.		Hillery A		Drug Discov Today	6	2001	3-4	J:67514	11165159
88479	Cancer chemopreventive activity of 3,5,6,7,8,3',4'-heptamethoxyflavone from the peel of citrus plants.		Iwase Y; Takemura Y; Ju-ichi M; Yano M; Ito C; Furukawa H; Mukainaka T; Kuchide M; Tokuda H; Nishino H		Cancer Lett	163	2001	7-9	J:67517	11163102
88480	Enhanced expression of the early retrotransposon in C3H mouse-derived myeloid leukemia cells.		Tanaka I; Ishihara H		Virology	280	2001	107-14	J:67518	11162824
88481	Metastases: the glycan connection.		Couldrey C; Green JE		Breast Cancer Res	2	2000	321-3	J:67492	11250723
88482	Tyrosine kinase signalling in breast cancer: Tyrosine kinase-mediated signal transduction in transgenic mouse models of human breast cancer.		Andrechek ER; Muller WJ		Breast Cancer Res	2	2000	211-6	J:67493	11250712
88483	Tyrosine kinase signalling in breast cancer: Fibroblast growth factors and their receptors.		Dickson C; Spencer-Dene B; Dillon C; Fantl V		Breast Cancer Res	2	2000	191-6	J:67494	11250709
88484	Transforming growth factor-beta and breast cancer: Lessons learned from genetically altered mouse models.		Wakefield LM; Yang Ya; Dukhanina O		Breast Cancer Res	2	2000	100-6	J:67495	11250699
88485	Killing the umpire: cooperative defects in mitotic checkpoint and BRCA2 genes on the road to transformation.		McKeon F		Breast Cancer Res	1	1999	8-10	J:67496	11250674
88486	c-MYC induces mammary tumorigenesis by means of a preferred pathway involving spontaneous Kras2 mutations.		D'Cruz CM; Gunther EJ; Boxer RB; Hartman JL; Sintasath L; Moody SE; Cox JD; Ha SI; Belka GK; Golant A; Cardiff RD; Chodosh LA		Nat Med	7	2001	235-9	J:67498	11175856
88487	Repeated exposure of C3H/HeJ mice to ultra-wideband electromagnetic pulses: lack of effects on mammary tumors.		Jauchem JR; Ryan KL; Frei MR; Dusch SJ; Lehnert HM; Kovatch RM		Radiat Res	155	2001	369-77	J:67500	11175673
88488	The EGF-CFC family: novel epidermal growth factor-related proteins in development and cancer.		Salomon DS; Bianco C; Ebert AD; Khan NI; De Santis M; Normanno N; Wechselberger C; Seno M; Williams K; Sanicola M; Foley S; Gullick WJ; Persico G		Endocr Relat Cancer	7	2000	199-226	J:67502	11174844
88489	Genetic mapping and allelic loss analysis in mouse thymic lymphomas of helios and aiolos belonging to the ikaros gene family.		Xu H; Wakabayashi Y; Okano H; Saito Y; Miyazawa T; Kominami R		Jpn J Cancer Res	92	2001	36-41	J:67503	11173542
88490	Induction of myeloproliferative disease in mice by tyrosine kinase fusion oncogenes does not require granulocyte-macrophage colony-stimulating factor or interleukin-3.		Tomasson MH; Williams IR; Li S; Kutok J; Cain D; Gillessen S; Dranoff G; Van Etten RA; Gilliland DG		Blood	97	2001	1435-41	J:67752	11222391
88491	Ectopeptidases in pathophysiology.		Antczak C; De Meester I; Bauvois B		Bioessays	23	2001	251-60	J:67754	11223882
88492	DNA mismatch repair and cancer.		Peltomaki P		Mutat Res	488	2001	77-85	J:67811	11223406
88493	Assignment of SND1, the gene encoding coactivator p100, to human chromosome 7q31.3 and rat chromosome 4q23 by in situ hybridization.		Lienard P; Riviere M; Van Vooren P; Szpirer C; Szpirer J		Cytogenet Cell Genet	90	2000	253-4	J:67878	11124528
88494	Epistatic interactions between skin tumor modifier loci in interspecific (spretus/musculus) backcross mice.		Nagase H; Mao JH; de Koning JP; Minami T; Balmain A		Cancer Res	61	2001	1305-8	J:67849	11245425
88495	Combination cancer chemoprevention with green tea extract and sulindac shown in intestinal tumor formation in Min mice.		Suganuma M; Ohkura Y; Okabe S; Fujiki H		J Cancer Res Clin Oncol	127	2001	69-72	J:67939	11206275
88496	Mouse models for sporadic cancer.		Meuwissen R; Jonkers J; Berns A		Exp Cell Res	264	2001	100-10	J:68006	11237526
88497	Wilms tumor and the wt1 gene.		Lee SB; Haber DA		Exp Cell Res	264	2001	74-99	J:68007	11237525
88498	Neurofibromin, a tumor suppressor in the nervous system.		Zhu Y; Parada LF		Exp Cell Res	264	2001	19-28	J:68008	11237520
88499	From the Cover: Sensitivity to carcinogenesis is increased and chemoprotective efficacy of enzyme inducers is lost in nrf2 transcription factor-deficient mice.		Ramos-Gomez M; Kwak MK; Dolan PM; Itoh K; Yamamoto M; Talalay P; Kensler TW		Proc Natl Acad Sci U S A	98	2001	3410-5	J:68072	11248092
88500	Colony-stimulating factor 1 promotes progression of mammary tumors to malignancy.		Lin EY; Nguyen AV; Russell RG; Pollard JW		J Exp Med	193	2001	727-40	J:68146	11257139
88501	Allelic loss mapping and physical delineation of a region harboring a thymic lymphoma suppressor gene on mouse chromosome 16.		Matsuki A; Kosugi-Okano H; Ochiai Y; Kosugi Si; Miyazawa T; Wakabayashi Yi; Hatakeyama K; Niwa O; Kominami R		Biochem Biophys Res Commun	282	2001	16-20	J:68193	11263964
88502	Ovarian Tumorigenesis in Mice Transgenic for Murine Inhibin alpha Subunit Promoter-Driven Simian Virus 40 T-Antigen: Ontogeny, Functional Characteristics, and Endocrine Effects.		Rahman NA; Huhtaniemi IT		Biol Reprod	64	2001	1122-30	J:68195	11259258
88503	Oncogene-induced liver neoplasia in transgenic mice.		Sandgren EP; Quaife CJ; Pinkert CA; Palmiter RD; Brinster RL		Oncogene	4	1989	715-24	J:68423	2543942
88504	Use of intercross outbred mice and single nucleotide polymorphisms to map skin cancer modifier loci.		Peissel B; Zaffaroni D; Pazzaglia S; Manenti G; Zanesi N; Zedda I; Rebessi S; Covelli V; Dragani TA; Saran A		Mamm Genome	12	2001	291-4	J:68404	11309660
88505	Chemoprevention of lung cancer by isothiocyanates and their conjugates in A/J mouse.		Chung EL		Exp Lung Res	27	2001	319-30	J:68459	11293331
88506	Butylated hydroxytoluene (BHT) induction of pulmonary inflammation: a role in tumor promotion.		Bauer AK; Dwyer-Nield LD; Keil K; Koski K; Malkinson AM		Exp Lung Res	27	2001	197-216	J:68463	11293324
88507	Genetic linkage of nuclear morphology of mouse lung tumors to the Kras-2 locus.		Tripodis N; Demant P		Exp Lung Res	27	2001	185-96	J:68464	11293323
88508	Up-regulation of MUC1 in mammary tumors generated in a double-transgenic mouse expressing human MUC1 cDNA, under the control of 1.4-kb 5' MUC1 promoter sequence and the middle T oncogene, expressed from the MMTV promoter.		Graham RA; Morris JR; Cohen EP; Taylor-Papadimitriou J		Int J Cancer	92	2001	382-7	J:68466	11291075
88509	Murine models for experimental therapy of pediatric solid tumors with poor prognosis.		Beltinger C; Debatin KM		Int J Cancer	92	2001	313-8	J:68467	11291063
88510	Angiogenesis and prostate cancer: identification of a molecular progression switch.		Huss WJ; Hanrahan CF; Barrios RJ; Simons JW; Greenberg NM		Cancer Res	61	2001	2736-43	J:68468	11289156
88511	Development of pulmonary bronchiolo-alveolar adenocarcinomas in transgenic mice overexpressing murine c-myc and epidermal growth factor in alveolar type II pneumocytes.		Ehrhardt A; Bartels T; Geick A; Klocke R; Paul D; Halter R		Br J Cancer	84	2001	813-8	J:68445	11259097
88512	Two-stage carcinogenesis in NMRI mice: intravaginal application of 7,12-dimethylbenz[a]anthracene as initiator followed by the phorbol ester 12-O-tetradecanoylphorbol-13-acetate as promoter.		Goerttler K; Lohrke H; Hesse B		Carcinogenesis	1	1980	707-13	J:68497	11272124
88513	Sex hormone dependency of diethylnitrosamine-induced liver tumors in mice and chemoprevention by leuprorelin.		Nakatani T; Roy G; Fujimoto N; Asahara T; Ito A		Jpn J Cancer Res	92	2001	249-56	J:68498	11267934
88514	Inducible chromosomal translocation of AML1 and ETO genes through Cre/loxP-mediated recombination in the mouse.		Buchholz F; Refaeli Y; Trumpp A; Bishop JM		EMBO Rep	1	2000	133-9	J:68499	11265752
88515	Inter-chromosomal recombination of Mll and Af9 genes mediated by cre-loxP in mouse development.		Collins EC; Pannell R; Simpson EM; Forster A; Rabbitts TH		EMBO Rep	1	2000	127-32	J:68500	11265751
88516	The murine SNF5/INI1 chromatin remodeling factor is essential for embryonic development and tumor suppression.		Klochendler-Yeivin A; Fiette L; Barra J; Muchardt C; Babinet C; Yaniv M		EMBO Rep	1	2000	500-6	J:68501	11263494
88517	Foreign body sarcoma: effects of foreign DNA, beta-carotene and paprika applied to the implant surface.		Lavelle SM; Iomhair MM		Technol Health Care	8	2000	357-61	J:68502	11258581
88518	Oncogenes and tumor suppressors in the molecular pathogenesis of acute promyelocytic leukemia.		Pandolfi PP		Hum Mol Genet	10	2001	769-75	J:68503	11257111
88519	Unraveling human cancer in the mouse: recent refinements to modeling and analysis.		Resor L; Bowen TJ; Wynshaw-Boris A		Hum Mol Genet	10	2001	669-75	J:68504	11257098
88520	Mouse plasmacytoma: an experimental model of human multiple myeloma.		Gado K; Silva S; Paloczi K; Domjan G; Falus A		Haematologica	86	2001	227-36	J:68505	11255268
88521	The Bcr N-terminal oligomerization domain contributes to the full oncogenicity of P190 Bcr/Abl in transgenic mice.		Heisterkamp N; Voncken JW; Senadheera D; Hemmeryckx B; Gonzalez-Gomez I; Reichert A; Pattengale PK; Groffen J		Int J Mol Med	7	2001	351-7	J:68506	11254872
88522	Gliomagenesis: genetic alterations and mouse models.		Holland EC		Nat Rev Genet	2	2001	120-9	J:68507	11253051
88523	The A beta 6w302 gene and molecular mechanisms of resistance to the spread of radiation-induced lymphoma in a mouse mutant, survivor-27.		Liu Y; Savinov AY; McMinimy DL; Kremlev SG; Chapoval AI; Egorov IK		Radiats Biol Radioecol	40	2000	500-5	J:68508	11252225
88524	Role of Fas ligand expression in promoting escape from immune rejection in a spontaneous tumor model.		Cefai D; Favre L; Wattendorf E; Marti A; Jaggi R; Gimmi CD		Int J Cancer	91	2001	529-37	J:68509	11251977
88525	Chromosome 11 loss from thymic lymphomas induced in heterozygous trp53 mice by phenolphthalein.		Hulla JE; French JE; Dunnick JK		Toxicol Sci	60	2001	264-70	J:68510	11248138
88526	Protection of mice against leukemia after vaccination with bone marrow-derived dendritic cells loaded with apoptotic leukemia cells.		Paczesny S; Beranger S; Salzmann JL; Klatzmann D; Colombo BM		Cancer Res	61	2001	2386-9	J:68472	11289101
88527	Encapsulation in cationic liposomes enhances antitumour efficacy and reduces the toxicity of etoposide, a topo-isomerase ii inhibitor.		Sengupta S; Tyagi P; Chandra S; Kochupillai V; Gupta SK		Pharmacology	62	2001	163-71	J:68473	11287818
88528	Effects of Motexafin gadolinium on tumor metabolism and radiation sensitivity.		Xu S; Zakian K; Thaler H; Matei C; Alfieri A; Chen Y; Koutcher JA		Int J Radiat Oncol Biol Phys	49	2001	1381-90	J:68474	11286846
88529	Deceleration of carcinogenic potential by adaptation with low dose gamma irradiation.		Bhattacharjee D; Ito A		In Vivo	15	2001	87-92	J:68475	11286136
88530	Intestinal toxicity and carcinogenic potential of the food mutagen 2-amino-1-methyl-6-phenylimidazo.		Klein JC; Beems RB; Zwart PE; Hamzink M; Zomer G; Steeg Hv; Kreijl CF		Carcinogenesis	22	2001	619-26	J:68477	11285198
88531	Enhancement of natural killer cytotoxicity delayed murine carcinogenesis by a probiotic microorganism.		Takagi A; Matsuzaki T; Sato M; Nomoto K; Morotomi M; Yokokura T		Carcinogenesis	22	2001	599-605	J:68478	11285195
88532	Free radical defenses in the liver and kidney of human growth hormone transgenic mice: possible mechanisms of early mortality.		Hauck SJ; Bartke A		J Gerontol A Biol Sci Med Sci	56	2001	B153-62	J:68479	11283186
88533	NK cells and NKT cells collaborate in host protection from methylcholanthrene-induced fibrosarcoma.		Smyth MJ; Crowe NY; Godfrey DI		Int Immunol	13	2001	459-63	J:68480	11282985
88534	The homeobox gene CDX2 in colorectal carcinoma: a genetic analysis.		Sivagnanasundaram S; Islam I; Talbot I; Drummond F; Walters JR; Edwards YH		Br J Cancer	84	2001	218-25	J:68542	11161380
88535	Oncogenic mutations of the p53 tumor suppressor: the demons of the guardian of the genome.		Sigal A; Rotter V		Cancer Res	60	2000	6788-93	J:68543	11156366
88536	Mammary cancer in humans and mice: a tutorial for comparative pathology. The CD-ROM.		Cardiff RD; Wagner U; Henninghausen L		J Mammary Gland Biol Neoplasia	5	2000	243-4	J:68545	11149576
88537	The SH2 domain of bcr-Abl is not required to induce a murine myeloproliferative disease; however, SH2 signaling influences disease latency and phenotype.		Zhang X; Wong R; Hao SX; Pear WS; Ren R		Blood	97	2001	277-87	J:68549	11133772
88538	Perforin and interferon-gamma activities independently control tumor initiation, growth, and metastasis.		Street SE; Cretney E; Smyth MJ		Blood	97	2001	192-7	J:68550	11133760
88539	The role of interleukin-6 and interleukin-6/interleukin-6 receptor-alpha complex in the pathogenesis of multiple myeloma.		Barille S; Bataille R; Amiot M		Eur Cytokine Netw	11	2000	546-51	J:68551	11125296
88540	The biology of lung cancer including potential clinical applications.		Zochbauer-Muller S; Minna JD		Chest Surg Clin N Am	10	2000	691-708	J:68553	11091920
88541	Carcinogenicity and genotoxicity of ethylene oxide: new aspects and recent advances.		Thier R; Bolt HM		Crit Rev Toxicol	30	2000	595-608	J:68554	11055837
88542	Synthetic pineal peptide inhibits growth of spontaneous tumors and increases lifespan in mice.		Khavinson VK; Anisimov VN		Dokl Biol Sci	373	2000	361-3	J:68556	11013831
88543	Models of chronic myeloid leukemia.		Van Etten RA		Curr Oncol Rep	3	2001	228-37	J:68559	11296133
88544	Studies using structural analogs and inbred strain differences to support a role for quinone methide metabolites of butylated hydroxytoluene (BHT) in mouse lung tumor promotion.		Thompson JA; Carlson TJ; Sun Y; Dwyer-Nield LD; Malkinson AM		Toxicology	160	2001	197-205	J:68512	11246140
88545	Crkl enhances leukemogenesis in BCR/ABL P190 transgenic mice.		Hemmeryckx B; van Wijk A; Reichert A; Kaartinen V; de Jong R; Pattengale PK; Gonzalez-Gomez I; Groffen J; Heisterkamp N		Cancer Res	61	2001	1398-405	J:68514	11245441
88546	Elevated protein kinase C betaII is an early promotive event in colon carcinogenesis.		Gokmen-Polar Y; Murray NR; Velasco MA; Gatalica Z; Fields AP		Cancer Res	61	2001	1375-81	J:68515	11245437
88547	Angiogenesis in transgenic models of multistep carcinogenesis.		D' Angelo MG; Afanasieva T; Aguzzi A		J Neurooncol	50	2000	89-98	J:68516	11245284
88548	Tephrosia purpurea alleviates phorbol ester-induced tumor promotion response in murine skin.		Saleem M; Ahmed Su; Alam A; Sultana S		Pharmacol Res	43	2001	135-44	J:68518	11243714
88549	Analysis of c-Ha-ras gene mutations in skin tumors induced in carcinogenesis-susceptible and carcinogenesis-resistant mice by different two-stage protocols or tumor promoter alone.		Pazzaglia S; Mancuso M; Primerano B; Rebessi S; Biozzi G; Covelli V; Saran A		Mol Carcinog	30	2001	111-8	J:68519	11241758
88550	Activation of Akt (protein kinase B) in mammary epithelium provides a critical cell survival signal required for tumor progression.		Hutchinson J; Jin J; Cardiff RD; Woodgett JR; Muller WJ		Mol Cell Biol	21	2001	2203-12	J:68521	11238953
88551	Mechanisms of inhibition of chemical toxicity and carcinogenesis by diallyl sulfide (das) and related compounds from garlic.		Yang CS; Chhabra SK; Hong JY; Smith TJ		J Nutr	131	2001	1041S-5S	J:68522	11238812
88552	Selective expression of murine prostate stem cell antigen in fetal and adult tissues and the transgenic adenocarcinoma of the mouse prostate model of prostate carcinogenesis.		Ross S; Spencer SD; Lasky LA; Koeppen H		Am J Pathol	158	2001	809-16	J:68524	11238029
88553	FGF-10 disrupts lung morphogenesis and causes pulmonary adenomas in vivo.		Clark JC; Tichelaar JW; Wert SE; Itoh N; Perl AK; Stahlman MT; Whitsett JA		Am J Physiol Lung Cell Mol Physiol	280	2001	L705-15	J:68525	11238011
88554	Chemoprevention of lung cancer by lycopene.		Kim DJ; Takasuka N; Nishino H; Tsuda H		Biofactors	13	2000	95-102	J:68526	11237207
88555	Anti-tumor and anti-carcinogenic activities of triterpenoid, beta-boswellic acid.		Huang MT; Badmaev V; Ding Y; Liu Y; Xie JG; Ho CT		Biofactors	13	2000	225-30	J:68527	11237186
88556	Implications of apoptosis for toxicity, carcinogenicity, and risk assessment: fumonisin B(1) as an example.		Dragan YP; Bidlack WR; Cohen SM; Goldsworthy TL; Hard GC; Howard PC; Riley RT; Voss KA		Toxicol Sci	61	2001	6-17	J:68560	11294969
88557	The myeloma-associated oncogene fibroblast growth factor receptor 3 is transforming in hematopoietic cells.		Li Z; Zhu YX; Plowright EE; Bergsagel PL; Chesi M; Patterson B; Hawley TS; Hawley RG; Stewart AK		Blood	97	2001	2413-9	J:68561	11290605
88558	Age-dependent skin tumorigenesis and transgene expression in the Tg.AC (v-Ha-ras) transgenic mouse.		Battalora MS; Spalding JW; Szczesniak CJ; Cape JE; Morris RJ; Trempus CS; Bortner CD; Lee BM; Tennant RW		Carcinogenesis	22	2001	651-9	J:68562	11285202
88559	Xeroderma pigmentosum group A gene action as a protection factor against 4-nitroquinoline 1-oxide-induced tongue carcinogenesis.		Ide F; Oda H; Nakatsuru Y; Kusama K; Sakashita H; Tanaka K; Ishikawa T		Carcinogenesis	22	2001	567-72	J:68563	11285190
88560	Resistance to fulminant hepatitis and carcinogenesis conferred by overexpression of retinoblastoma protein in mouse liver.		Ichihara T; Komagata Y; Yang XL; Uezato T; Enomoto K; Koyama K; Miyazaki J; Sugiyama T; Miura N		Hepatology	33	2001	948-55	J:68564	11283859
88561	Overexpression of cyclooxygenase-2 is sufficient to induce tumorigenesis in transgenic mice.		Liu CH; Chang SH; Narko K; Trifan OC; Wu MT; Smith E; Haudenschild C; Lane TF; Hla T		J Biol Chem	276	2001	18563-9	J:68565	11278747
88562	The dependence receptor DCC (deleted in colorectal cancer) defines an alternative mechanism for caspase activation.		Forcet C; Ye X; Granger L; Corset V; Shin H; Bredesen DE; Mehlen P		Proc Natl Acad Sci U S A	98	2001	3416-21	J:68567	11248093
88563	Inhibition of carcinogen induced c-Ha-ras and c-fos proto-oncogenes expression by dietary curcumin		Limtrakul P; Anuchapreeda S; Lipigorngoson S; Dunn FW		BMC Cancer	1	2001	1	J:68568	11231886
88564	High levels of ceruloplasmin in the serum of transgenic mice developing hepatocellular carcinoma.		Pousset D; Piller V; Bureaud N; Piller F		Eur J Biochem	268	2001	1491-9	J:68569	11231303
88565	Massive apoptosis of thymocytes in T-cell-deficient Id1 transgenic mice.		Kim D; Peng XC; Sun XH		Mol Cell Biol	19	1999	8240-53	J:58607	10567549
88566	Pituitary tumours.		Davis JR; Farrell WE; Clayton RN		Reproduction	121	2001	363-71	J:68691	11226062
88567	Elevated Cu/Zn-SOD exacerbates radiation sensitivity and hematopoietic abnormalities of Atm-deficient mice.		Peter Y; Rotman G; Lotem J; Elson A; Shiloh Y; Groner Y		EMBO J	20	2001	1538-46	J:68771	11285218
88568	Preventive effects of Juzen-taiho-to on N-methyl-N-nitrosourea and estradiol-17beta-induced endometrial carcinogenesis in mice.		Niwa K; Hashimoto M; Morishita S; Lian Z; Tagami K; Mori H; Tamaya T		Carcinogenesis	22	2001	587-91	J:68816	11285193
88569	A mutator phenotype in cancer.		Loeb LA		Cancer Res	61	2001	3230-9	J:68911	11309271
88570	Hepatomegaly in transgenic mice expressing an oncogenic form of beta-catenin.		Cadoret A; Ovejero C; Saadi-Kheddouci S; Souil E; Fabre M; Romagnolo B; Kahn A; Perret C		Cancer Res	61	2001	3245-9	J:68912	11309273
88571	Promotion of seminomatous tumors by targeted overexpression of glial cell line-derived neurotrophic factor in mouse testis.		Meng X; de Rooij DG; Westerdahl K; Saarma M; Sariola H		Cancer Res	61	2001	3267-71	J:68913	11309277
88572	Knock-in mice with a chimeric human/murine p53 gene develop normally and show wild-type p53 responses to DNA damaging agents: a new biomedical research tool.		Luo JL; Yang Q; Tong WM; Hergenhahn M; Wang ZQ; Hollstein M		Oncogene	20	2001	320-8	J:68918	11313961
88573	Runx2: a novel oncogenic effector revealed by in vivo complementation and retroviral tagging.		Blyth K; Terry A; Mackay N; Vaillant F; Bell M; Cameron ER; Neil JC; Stewart M		Oncogene	20	2001	295-302	J:68920	11313958
88574	Elevated mutant frequencies and increased C : G-->T : A transitions in Mlh1-/- versus Pms2-/- murine small intestinal epithelial cells.		Baross-Francis A; Makhani N; Liskay RM; Jirik FR		Oncogene	20	2001	619-25	J:68922	11313994
88575	Impairment of mammary lobular development induced by expression of TGFbeta1 under the control of WAP promoter does not suppress tumorigenesis in MMTV-infected transgenic mice.		Buggiano V; Schere-Levy C; Abe K; Vanzulli S; Piazzon I; Smith GH; Kordon EC		Int J Cancer	92	2001	568-76	J:68939	11304693
88576	Conditional liver-specific expression of simian virus 40 T antigen leads to regulatable development of hepatic neoplasm in transgenic mice.		Manickan E; Satoi J; Wang TC; Liang TJ		J Biol Chem	276	2001	13989-94	J:69003	11278564
88577	Disruption of ini1 leads to peri-implantation lethality and tumorigenesis in mice.		Guidi CJ; Sands AT; Zambrowicz BP; Turner TK; Demers DA; Webster W; Smith TW; Imbalzano AN; Jones SN		Mol Cell Biol	21	2001	3598-603	J:69009	11313485
88578	Facilitation of functional compartmentalization of bone marrow cells in leukemic mice by biological response modifiers: an immunotherapeutic approach.		Law S; Maiti D; Palit A; Majumder D; Basu K; Chaudhuri S; Chaudhuri S		Immunol Lett	76	2001	145-52	J:69041	11306141
88579	The retinoblastoma gene regulates somatic growth during mouse development.		Nikitin AYu; Shan B; Flesken-Nikitin A; Chang KH; Lee WH		Cancer Res	61	2001	3110-8	J:69037	11306495
88580	The occurrence of tumors of the forestomach in mice after parenteral administration of methylcholanthrene: A histopathologic and genetic analysis		Bagshaw MA; Strong LC		J Natl Cancer Inst	11	1950	141-175	J:69075	14784849
